webpageID,og:type,salestype,country,language,categorypath,tooltip,ui-tabs-panel
000878_,document, , ,en,document_, , 
000880_,product,franchise,us,en,enterprise-products, , 
000888_,category,franchise,us,en,desktops, , 
000891_,product,franchise,us,en,laptops, , 
000892_,product,franchise,us,en,desktops, , 
000895_,product,franchise,us,en,laptops, , 
000896_,product,franchise,in,en,laptops, , 
000898_,category,product_category,us,en,enterprise-products, , 
000899_,product,franchise,us,en,cloud-client-computing, , 
000901_,product,franchise,us,en,desktops, , 
000905_,product,franchise,us,en,desktops, , 
000906_,product,franchise,us,en,laptops, , 
000908_,document, , ,en,document_, , 
000909_,product,franchise,us,en,server-storage-solutions, , 
000912_,document, , ,en,document_, , 
000916_,product,franchise,uk,en,enterprise-products, , 
000919_,category,franchise,us,en,desktops, , 
000921_,product,product_category,uk,en,dell-tablets, , 
000925_,category,product_category,us,en,dell-tablets, , 
000926_,category,franchise,in,en,enterprise-products, , 
000928_,product,franchise,us,en,laptops, , 
000929_,product,franchise,us,en,enterprise-products, , 
000932_,category,product_category,us,en,laptops, , 
000934_,category,franchise,uk,en,laptops, , 
000941_,product,franchise,us,en,desktops, , 
000942_,product,franchise,us,en,desktops, , 
000944_,category,franchise,us,en,enterprise-products, , 
000945_,product,franchise,us,en,laptops, , 
000946_,product,franchise,us,en,desktops, , 
000951_,product,franchise,us,en,desktops, , 
000952_,category,config_category,us,en,deals, , 
000956_,product,franchise,us,en,desktops, , 
000958_,category,franchise,us,en,desktops, , 
000959_,product,franchise,us,en,enterprise-products, , 
000960_,product,parent_product_category,us,en,other-product, , 
000961_,category,franchise,us,en,laptops, , 
000964_,product,franchise,us,en,laptops, , 
000967_,product,franchise,us,en,enterprise-products, , 
000968_,product,franchise,us,en,enterprise-products, , 
000970_,category,product_category,us,en,enterprise-products, , 
000971_,category,config_category,uk,en,deals, , 
000972_, , , , ,unkowntype_, , 
000976_,product,franchise,us,en,dell-tablets, , 
000977_,category,product_category,sg,en,enterprise-products, , 
000978_,category,product_category,us,en,enterprise-products, , 
000985_,product,product_category,us,en,dell-tablets, , 
000987_,product,franchise,us,en,laptops, , 
000996_,product,franchise,us,en,enterprise-products, , 
000997_,category,franchise,sg,en,laptops, , 
000998_,product,franchise,us,en,enterprise-products, , 
001001_,category,parent_product_category,us,en,all-products, , 
001004_,product,franchise,us,en,laptops, , 
001014_,category,parent_product_category,us,en,all-products, , 
001020_,product,franchise,us,en,enterprise-products, , 
001021_,category,franchise,uk,en,enterprise-products, , 
001026_,product,franchise,us,en,server-storage-solutions, , 
001028_,product,franchise,us,en,laptops, , 
001033_,product,franchise,us,en,enterprise-products, , 
001035_,product,franchise,us,en,enterprise-products, , 
001036_,product,franchise,us,en,laptops, , 
001038_,product,franchise,us,en,enterprise-products, , 
001040_,category,product_category,us,en,enterprise-products, , 
001041_,product,franchise,us,en,cloud-client-computing, , 
001045_,document, , ,en,document_, , 
001047_,category,config_category,us,en,deals, , 
001048_,category,franchise,us,en,desktops, , 
001052_,product,franchise,us,en,laptops, , 
001056_,product,franchise,us,en,enterprise-products, , 
001061_, , , ,en,unkowntype_, , 
001063_,product,franchise,uk,en,enterprise-products, , 
001066_,product,franchise,us,en,laptops, , 
001068_,category,franchise,uk,en,laptops, , 
001070_,category,parent_product_category,uk,en,all-products, , 
001072_,product,franchise,us,en,desktops, , 
001073_,product,franchise,us,en,server-storage-solutions, , 
001074_,product,franchise,us,en,server-storage-solutions, , 
001082_,product,franchise,uk,en,desktops, , 
001083_,document, , ,en,document_, , 
001084_,category,config_category,us,en,deals, , 
001086_,document, , ,en,document_, , 
001087_,category,franchise,us,en,enterprise-products, , 
001088_,category,franchise,uk,en,desktops, , 
001089_,product,franchise,us,en,enterprise-products, , 
001091_,document, , ,en,document_, , 
001093_,product,franchise,us,en,enterprise-products, , 
001094_,product,franchise,us,en,desktops, , 
001100_,product,franchise,us,en,laptops, , 
001103_,product,franchise,us,en,enterprise-products, , 
001105_,category,franchise,au,en,laptops, , 
001107_,document, , ,en,document_, , 
001109_,category,product_category,uk,en,enterprise-products, , 
001115_,category,config_category,us,en,deals, , 
001121_,product,franchise,us,en,enterprise-products, , 
001123_,category,franchise,sg,en,laptops, , 
001136_,product,franchise,us,en,enterprise-products, , 
001143_,product,franchise,us,en,laptops, , 
001144_,product,franchise,us,en,desktops, , 
001145_,product,franchise,us,en,desktops, , 
001148_,category,franchise,us,en,desktops, , 
001150_,product,franchise,us,en,enterprise-products, , 
001151_,product,franchise,us,en,enterprise-products, , 
001152_,product,franchise,uk,en,laptops, , 
001153_,category,parent_product_category,uk,en,all-products, , 
001156_,product,franchise,us,en,laptops, , 
001160_,product,franchise,uk,en,laptops, , 
001166_,category,parent_product_category,us,en,all-products, , 
001170_,category,parent_product_category,us,en,all-products, , 
001182_,product,franchise,us,en,software, , 
001183_,category,config_category,us,en,deals, , 
001189_,product,franchise,us,en,desktops, , 
001190_,category,product_category,uk,en,dell-tablets, , 
001193_,category,parent_product_category,uk,en,all-products, , 
001195_,product,franchise,us,en,desktops, , 
001198_,product,franchise,uk,en,laptops, , 
001199_,category,config_category,uk,en,other-product, , 
001201_,category,franchise,uk,en,laptops, , 
001202_,product,franchise,us,en,enterprise-products, , 
001205_,category,config_category,us,en,deals, , 
001206_,category,franchise,us,en,laptops, , 
001210_,product,franchise,us,en,enterprise-products, , 
001216_,product,franchise,us,en,laptops, , 
001221_,category,product_category,au,en,laptops, , 
001223_,category,franchise,us,en,enterprise-products, , 
001227_,product,franchise,us,en,enterprise-products, , 
001228_,product,franchise,us,en,cloud-client-computing, , 
001232_,category,product_category,us,en,enterprise-products, , 
001243_,product,parent_product_category,us,en,other-product, , 
001245_,product,franchise,us,en,cloud-client-computing, , 
001251_,category,product_category,in,en,laptops, , 
001264_,product,franchise,us,en,laptops, , 
001266_,product,franchise,us,en,laptops, , 
001268_,product,franchise,us,en,enterprise-products, , 
001270_,category,config_category,us,en,other-product, , 
001275_,product,franchise,us,en,desktops, , 
001277_,product,franchise,uk,en,enterprise-products, , 
001278_,document, , ,en,document_, , 
001279_,category,parent_product_category,us,en,all-products, , 
001284_,product,franchise,us,en,enterprise-products, , 
001289_,product,franchise,us,en,enterprise-products, , 
001293_,category,product_category,uk,en,enterprise-products, , 
001295_,product,franchise,us,en,desktops, , 
001302_,category,parent_product_category,us,en,all-products, , 
001303_,category,parent_product_category,us,en,all-products, , 
001304_,product,franchise,us,en,server-storage-solutions, , 
001305_,product,franchise,us,en,laptops, , 
001307_,category,product_category,uk,en,laptops, , 
001310_,category,product_category,uk,en,enterprise-products, , 
001312_,product,franchise,uk,en,laptops, , 
001313_,category,config_category,us,en,deals, , 
001314_,document, , ,en,document_, , 
001322_,product,franchise,uk,en,desktops, , 
001329_,category,parent_product_category,us,en,all-products, , 
001332_,document, , ,en,document_, , 
001338_,product,franchise,us,en,desktops, , 
001347_,product,franchise,us,en,laptops, , 
001348_,category,product_category,us,en,enterprise-products, , 
001357_,category,config_category,uk,en,deals, , 
001362_,category,parent_product_category,us,en,all-products, , 
001367_,product,franchise,uk,en,laptops, , 
001375_,product,franchise,us,en,laptops, , 
001382_,category,config_category,uk,en,deals, , 
001386_,category,franchise,in,en,desktops, , 
001389_,document, , ,en,document_, , 
001394_,product,franchise,us,en,enterprise-products, , 
001395_,category,franchise,uk,en,enterprise-products, , 
001396_,category,franchise,us,en,enterprise-products, , 
001397_,product,franchise,uk,en,laptops, , 
001398_,document, , ,en,document_, , 
001401_,product,franchise,us,en,laptops, , 
001402_,category,product_category,us,en,laptops, , 
001403_,product,franchise,us,en,laptops, , 
001405_,product,franchise,in,en,desktops, , 
001406_,product,franchise,us,en,laptops, , 
001409_,product,franchise,us,en,laptops, , 
001410_,product,franchise,us,en,enterprise-products, , 
001412_, , , , ,unkowntype_, , 
001420_,category,franchise,us,en,enterprise-products, , 
001427_,document, , ,en,document_, , 
001432_,product,franchise,us,en,enterprise-products, , 
001439_,product,franchise,us,en,enterprise-products, , 
001442_,product,franchise,uk,en,laptops, , 
001443_,product,franchise,us,en,enterprise-products, , 
001445_,product,franchise,us,en,enterprise-products, , 
001446_,document, , ,en,document_, , 
001448_,product,franchise,in,en,desktops, , 
001450_,product,franchise,us,en,desktops, , 
001451_,product,franchise,us,en,laptops, , 
001452_,product,franchise,us,en,desktops, , 
001453_,category,config_category,uk,en,deals, , 
001455_,product,franchise,us,en,laptops, , 
001458_,product,franchise,in,en,desktops, , 
001459_,product,franchise,us,en,server-storage-solutions, , 
001465_,category,config_category,us,en,deals, , 
001466_,document, , ,en,document_, , 
001469_,category,product_category,us,en,desktops, , 
001470_,document, , ,en,document_, , 
001473_,product,franchise,us,en,laptops, , 
001476_,product,franchise,us,en,laptops, , 
001477_,product,franchise,us,en,laptops, , 
001484_,product,franchise,uk,en,enterprise-products, , 
001490_,product,franchise,us,en,enterprise-products, , 
001491_,document, , ,en,document_, , 
001496_,product,franchise,us,en,laptops, , 
001502_,category,franchise,us,en,enterprise-products, , 
001503_,product,franchise,uk,en,desktops, , 
001504_,product,franchise,us,en,desktops, , 
001506_,category,product_category,uk,en,laptops, , 
001508_,product,franchise,us,en,server-storage-solutions, , 
001509_,category,product_category,us,en,enterprise-products, , 
001510_,product,franchise,us,en,enterprise-products, , 
001511_,product,franchise,us,en,desktops, , 
001512_,product,franchise,in,en,desktops, , 
001513_,category,franchise,uk,en,laptops, , 
001516_,product,franchise,us,en,laptops, , 
001522_,category,product_category,us,en,enterprise-products, , 
001531_,product,franchise,us,en,laptops, , 
001532_,document, , ,en,document_, , 
001533_,category,franchise,us,en,server-storage-solutions, , 
001534_,product,franchise,us,en,enterprise-products, , 
001535_,product,franchise,us,en,enterprise-products, , 
001538_,category,config_category,us,en,deals, , 
001540_, , , ,en,unkowntype_, , 
001541_,category,product_category,au,en,other-product, , 
001546_,product,franchise,in,en,desktops, , 
001552_,product,franchise,uk,en,laptops, , 
